,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
TIME_PER_HOUR,,,0.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0
DAY_TYPE,ORIGIN_PT_CODE,DESTINATION_PT_CODE,,,,,,,,,,,,,,,,,,,,
WEEKDAY,BP10,BP11,,119.0,341.0,337.0,182.0,126.0,97.0,99.0,117.0,126.0,98.0,93.0,99.0,113.0,110.0,71.0,50.0,38.0,30.0,6.0
WEEKDAY,BP10,BP9,,56.0,122.0,133.0,77.0,35.0,9.0,9.0,7.0,10.0,10.0,8.0,7.0,43.0,37.0,24.0,6.0,2.0,2.0,
WEEKDAY,BP11,BP10,,31.0,81.0,100.0,65.0,21.0,6.0,6.0,5.0,8.0,9.0,5.0,5.0,33.0,26.0,15.0,1.0,,1.0,
WEEKDAY,BP11,BP12,,242.0,674.0,644.0,320.0,206.0,155.0,154.0,175.0,194.0,141.0,130.0,128.0,163.0,164.0,102.0,60.0,45.0,32.0,10.0
WEEKDAY,BP12,BP11,,22.0,87.0,107.0,91.0,44.0,30.0,34.0,57.0,74.0,75.0,86.0,111.0,213.0,228.0,139.0,92.0,63.0,36.0,8.0
WEEKDAY,BP12,BP13,,322.0,855.0,826.0,420.0,250.0,187.0,186.0,245.0,301.0,261.0,188.0,184.0,224.0,200.0,115.0,64.0,50.0,34.0,11.0
WEEKDAY,BP13,BP12,,19.0,185.0,217.0,117.0,58.0,41.0,53.0,83.0,105.0,110.0,126.0,168.0,329.0,353.0,223.0,139.0,87.0,53.0,14.0
WEEKDAY,BP13,DT1,,383.0,998.0,941.0,487.0,277.0,210.0,207.0,267.0,326.0,276.0,197.0,196.0,241.0,217.0,123.0,68.0,56.0,34.0,10.0
WEEKDAY,BP2,BP3,,251.0,793.0,1140.0,881.0,563.0,324.0,369.0,512.0,474.0,441.0,465.0,571.0,1075.0,1008.0,535.0,451.0,295.0,165.0,24.0
WEEKDAY,BP2,NS4,,442.0,1389.0,1308.0,621.0,401.0,355.0,454.0,573.0,523.0,528.0,619.0,654.0,870.0,726.0,436.0,296.0,247.0,159.0,37.0
WEEKDAY,BP3,BP2,,417.0,1302.0,1165.0,564.0,377.0,343.0,438.0,569.0,512.0,561.0,650.0,681.0,916.0,803.0,488.0,335.0,283.0,183.0,43.0
WEEKDAY,BP3,BP4,,293.0,918.0,1273.0,953.0,600.0,345.0,377.0,512.0,456.0,408.0,424.0,521.0,971.0,901.0,463.0,402.0,257.0,146.0,21.0
WEEKDAY,BP4,BP3,,364.0,1090.0,966.0,466.0,328.0,310.0,409.0,534.0,515.0,589.0,673.0,693.0,940.0,869.0,536.0,362.0,303.0,197.0,46.0
WEEKDAY,BP4,BP5,,307.0,938.0,1088.0,729.0,503.0,349.0,380.0,460.0,462.0,420.0,478.0,579.0,998.0,879.0,439.0,385.0,250.0,136.0,22.0
WEEKDAY,BP5,BP4,,344.0,1034.0,1017.0,573.0,364.0,277.0,304.0,420.0,471.0,532.0,523.0,532.0,822.0,897.0,566.0,377.0,308.0,212.0,48.0
WEEKDAY,BP5,DT1,,310.0,1005.0,1164.0,755.0,526.0,372.0,408.0,482.0,489.0,451.0,510.0,609.0,1021.0,915.0,465.0,396.0,256.0,140.0,25.0
WEEKDAY,BP7,BP8,,30.0,254.0,257.0,166.0,133.0,110.0,132.0,166.0,187.0,210.0,233.0,287.0,419.0,416.0,265.0,194.0,142.0,87.0,23.0
WEEKDAY,BP7,DT1,,185.0,369.0,378.0,185.0,108.0,80.0,72.0,102.0,102.0,146.0,111.0,74.0,116.0,113.0,77.0,42.0,19.0,13.0,
WEEKDAY,BP8,BP7,,137.0,280.0,271.0,145.0,95.0,76.0,68.0,92.0,94.0,138.0,102.0,68.0,111.0,101.0,70.0,40.0,18.0,13.0,
WEEKDAY,BP8,BP9,,14.0,244.0,241.0,138.0,111.0,98.0,121.0,152.0,187.0,185.0,221.0,266.0,381.0,391.0,246.0,180.0,131.0,80.0,20.0
WEEKDAY,BP9,BP10,,12.0,128.0,156.0,125.0,102.0,89.0,108.0,131.0,151.0,155.0,177.0,198.0,281.0,300.0,187.0,137.0,103.0,60.0,15.0
WEEKDAY,BP9,BP8,,103.0,226.0,226.0,122.0,79.0,57.0,56.0,75.0,67.0,115.0,79.0,49.0,81.0,65.0,47.0,27.0,10.0,7.0,
WEEKDAY,CC10,CC11,1.0,339.0,1529.0,1912.0,1445.0,790.0,512.0,566.0,676.0,747.0,873.0,1091.0,1231.0,2237.0,2582.0,1350.0,991.0,755.0,534.0,100.0
WEEKDAY,CC10,DT25,,763.0,2265.0,3222.0,2507.0,1582.0,958.0,776.0,834.0,841.0,768.0,751.0,889.0,1434.0,1609.0,790.0,554.0,420.0,287.0,40.0
WEEKDAY,CC10,DT27,2.0,312.0,1512.0,2179.0,1620.0,844.0,681.0,809.0,1053.0,1241.0,1475.0,1902.0,2410.0,4243.0,4300.0,2410.0,1800.0,1367.0,944.0,285.0
WEEKDAY,CC10,EW8,,652.0,2787.0,3800.0,3091.0,2145.0,1480.0,1261.0,1320.0,1382.0,1241.0,1155.0,1277.0,2023.0,2132.0,1184.0,770.0,617.0,395.0,60.0
WEEKDAY,CC11,CC10,,491.0,2057.0,3130.0,2421.0,1340.0,835.0,704.0,776.0,908.0,910.0,928.0,1067.0,1761.0,1698.0,896.0,576.0,470.0,321.0,43.0
WEEKDAY,CC11,CC12,,276.0,1360.0,1564.0,1100.0,641.0,469.0,570.0,683.0,748.0,967.0,1289.0,1544.0,2984.0,3410.0,1750.0,1187.0,829.0,615.0,125.0
WEEKDAY,CC12,CC11,,699.0,2686.0,4169.0,3293.0,1696.0,948.0,761.0,821.0,981.0,890.0,821.0,921.0,1427.0,1342.0,741.0,489.0,467.0,289.0,34.0
WEEKDAY,CC12,NE12,,278.0,1344.0,1617.0,1165.0,676.0,491.0,587.0,693.0,1005.0,1184.0,1358.0,1603.0,3011.0,3416.0,1731.0,1173.0,818.0,609.0,125.0
WEEKDAY,CC14,NE12,,641.0,2343.0,3436.0,2651.0,1444.0,946.0,830.0,990.0,1245.0,1308.0,1367.0,1621.0,2886.0,2618.0,1331.0,855.0,713.0,376.0,50.0
WEEKDAY,CC14,NS17,,702.0,3088.0,3637.0,2162.0,1116.0,737.0,760.0,870.0,961.0,1048.0,1244.0,1429.0,2581.0,2813.0,1427.0,1024.0,758.0,539.0,95.0
WEEKDAY,CC16,CC17,,969.0,3170.0,3318.0,1867.0,988.0,612.0,600.0,658.0,741.0,672.0,758.0,805.0,1302.0,1294.0,595.0,348.0,287.0,174.0,30.0
WEEKDAY,CC16,NS17,,277.0,1141.0,1526.0,1064.0,507.0,452.0,460.0,652.0,774.0,966.0,1117.0,1379.0,2572.0,2319.0,1238.0,821.0,608.0,339.0,55.0
WEEKDAY,CC17,CC16,,269.0,1224.0,1629.0,1069.0,507.0,385.0,433.0,610.0,695.0,878.0,979.0,1305.0,2531.0,2236.0,1243.0,833.0,628.0,343.0,55.0
WEEKDAY,CC17,CC19,,997.0,3260.0,3467.0,1949.0,1033.0,646.0,621.0,673.0,792.0,692.0,774.0,820.0,1329.0,1339.0,610.0,356.0,298.0,174.0,28.0
WEEKDAY,CC19,CC17,,265.0,1249.0,1653.0,1097.0,521.0,392.0,451.0,629.0,692.0,907.0,1006.0,1358.0,2646.0,2352.0,1299.0,881.0,664.0,368.0,58.0
WEEKDAY,CC19,CC20,,1601.0,4647.0,4813.0,2845.0,1615.0,1096.0,1135.0,1388.0,1560.0,1465.0,1638.0,1931.0,3130.0,3032.0,1688.0,1284.0,1065.0,635.0,149.0
WEEKDAY,CC19,DT10,,837.0,2796.0,4306.0,3437.0,2369.0,1733.0,1498.0,1565.0,1662.0,1624.0,1515.0,1719.0,2689.0,2418.0,1296.0,924.0,671.0,393.0,51.0
WEEKDAY,CC19,DT8,1.0,162.0,1135.0,1388.0,687.0,406.0,389.0,491.0,640.0,782.0,897.0,1124.0,1355.0,2343.0,2378.0,1382.0,979.0,739.0,499.0,137.0
WEEKDAY,CC2,CC3,,39.0,120.0,121.0,132.0,120.0,83.0,76.0,82.0,73.0,66.0,66.0,67.0,86.0,84.0,58.0,42.0,26.0,10.0,2.0
WEEKDAY,CC2,NS24,,35.0,37.0,46.0,55.0,43.0,56.0,67.0,80.0,89.0,99.0,115.0,149.0,225.0,224.0,187.0,151.0,110.0,83.0,19.0
WEEKDAY,CC20,CC19,,715.0,2467.0,3487.0,2583.0,1658.0,1288.0,1235.0,1460.0,1561.0,1589.0,1767.0,2298.0,4451.0,3984.0,2232.0,1550.0,1092.0,625.0,89.0
WEEKDAY,CC20,CC21,,1585.0,4436.0,4753.0,2822.0,1612.0,1095.0,1142.0,1395.0,1595.0,1522.0,1622.0,1939.0,3125.0,3008.0,1675.0,1280.0,1054.0,628.0,148.0
WEEKDAY,CC21,CC20,,718.0,2498.0,3440.0,2549.0,1639.0,1278.0,1236.0,1469.0,1519.0,1483.0,1784.0,2279.0,4438.0,3991.0,2229.0,1555.0,1100.0,636.0,91.0
WEEKDAY,CC21,EW21,,1578.0,4438.0,4728.0,2761.0,1536.0,1053.0,1115.0,1378.0,1576.0,1496.0,1589.0,1892.0,3053.0,2936.0,1655.0,1293.0,1068.0,649.0,160.0
WEEKDAY,CC23,CC24,,600.0,1915.0,2430.0,1464.0,725.0,438.0,433.0,514.0,669.0,424.0,297.0,238.0,390.0,481.0,248.0,151.0,85.0,34.0,4.0
WEEKDAY,CC23,EW21,,37.0,255.0,522.0,439.0,238.0,319.0,416.0,570.0,620.0,572.0,928.0,1173.0,2438.0,2161.0,1485.0,988.0,540.0,294.0,66.0
WEEKDAY,CC24,CC23,,40.0,254.0,514.0,422.0,237.0,299.0,369.0,498.0,514.0,432.0,688.0,940.0,1935.0,1657.0,1191.0,811.0,460.0,243.0,59.0
WEEKDAY,CC24,CC25,,364.0,946.0,1002.0,650.0,297.0,181.0,183.0,230.0,282.0,206.0,234.0,271.0,476.0,477.0,238.0,196.0,120.0,41.0,5.0
WEEKDAY,CC25,CC24,,64.0,397.0,578.0,390.0,174.0,133.0,133.0,195.0,222.0,210.0,283.0,350.0,805.0,820.0,677.0,388.0,202.0,162.0,49.0
WEEKDAY,CC25,CC26,,233.0,638.0,712.0,519.0,270.0,174.0,180.0,205.0,249.0,171.0,214.0,252.0,455.0,452.0,238.0,174.0,90.0,31.0,1.0
WEEKDAY,CC26,CC25,,84.0,400.0,499.0,313.0,132.0,97.0,104.0,160.0,176.0,174.0,209.0,276.0,609.0,619.0,508.0,283.0,187.0,137.0,41.0
WEEKDAY,CC26,CC27,,95.0,261.0,520.0,406.0,229.0,171.0,175.0,193.0,230.0,177.0,229.0,281.0,533.0,489.0,342.0,177.0,85.0,44.0,6.0
WEEKDAY,CC27,CC26,,172.0,578.0,534.0,352.0,140.0,90.0,103.0,165.0,185.0,155.0,169.0,221.0,421.0,477.0,300.0,234.0,177.0,109.0,32.0
WEEKDAY,CC27,CC28,,68.0,201.0,361.0,257.0,179.0,161.0,174.0,186.0,227.0,182.0,254.0,318.0,626.0,599.0,412.0,214.0,91.0,45.0,7.0
WEEKDAY,CC28,CC27,,189.0,624.0,689.0,472.0,193.0,103.0,103.0,166.0,184.0,146.0,149.0,189.0,330.0,364.0,225.0,201.0,160.0,104.0,32.0
WEEKDAY,CC28,NE1,,97.0,267.0,408.0,303.0,218.0,193.0,203.0,208.0,245.0,193.0,258.0,309.0,614.0,604.0,421.0,200.0,81.0,36.0,8.0
WEEKDAY,CC3,CC2,,3.0,20.0,44.0,52.0,38.0,49.0,56.0,61.0,74.0,80.0,83.0,105.0,135.0,153.0,143.0,120.0,98.0,72.0,15.0
WEEKDAY,CC3,CC4,,2.0,20.0,25.0,33.0,13.0,24.0,37.0,53.0,62.0,62.0,78.0,102.0,126.0,116.0,95.0,98.0,68.0,47.0,8.0
WEEKDAY,CC4,CC3,,17.0,69.0,81.0,77.0,78.0,80.0,68.0,68.0,70.0,66.0,68.0,57.0,64.0,80.0,49.0,32.0,13.0,3.0,1.0
WEEKDAY,CC4,CC5,,17.0,159.0,239.0,237.0,146.0,122.0,140.0,162.0,197.0,245.0,297.0,369.0,567.0,644.0,440.0,357.0,256.0,180.0,55.0
WEEKDAY,CC4,CE1,,137.0,533.0,875.0,896.0,572.0,338.0,217.0,236.0,304.0,221.0,166.0,184.0,182.0,237.0,173.0,123.0,108.0,58.0,7.0
WEEKDAY,CC4,EW12,,15.0,113.0,194.0,180.0,112.0,101.0,139.0,172.0,207.0,261.0,444.0,489.0,780.0,982.0,662.0,554.0,403.0,317.0,105.0
WEEKDAY,CC5,CC4,,86.0,393.0,651.0,621.0,430.0,265.0,181.0,201.0,233.0,208.0,207.0,199.0,272.0,299.0,175.0,121.0,85.0,62.0,10.0
WEEKDAY,CC5,CC6,,12.0,135.0,172.0,145.0,88.0,93.0,117.0,145.0,179.0,231.0,284.0,373.0,572.0,660.0,450.0,363.0,270.0,189.0,55.0
WEEKDAY,CC6,CC5,,82.0,387.0,670.0,647.0,456.0,272.0,181.0,199.0,232.0,205.0,191.0,167.0,196.0,234.0,128.0,92.0,65.0,58.0,7.0
WEEKDAY,CC6,CC7,1.0,9.0,117.0,147.0,146.0,84.0,86.0,117.0,150.0,172.0,241.0,325.0,423.0,602.0,711.0,509.0,465.0,363.0,301.0,84.0
WEEKDAY,CC7,CC6,,104.0,482.0,782.0,717.0,510.0,317.0,234.0,242.0,296.0,247.0,212.0,170.0,213.0,250.0,138.0,65.0,36.0,13.0,1.0
WEEKDAY,CC7,CC8,,29.0,208.0,234.0,202.0,127.0,106.0,137.0,190.0,225.0,328.0,430.0,527.0,649.0,721.0,486.0,430.0,335.0,289.0,79.0
WEEKDAY,CC8,CC7,,118.0,550.0,972.0,764.0,508.0,305.0,236.0,258.0,349.0,293.0,245.0,207.0,267.0,304.0,175.0,90.0,61.0,27.0,3.0
WEEKDAY,CC8,EW8,1.0,40.0,258.0,312.0,281.0,173.0,136.0,173.0,272.0,367.0,611.0,726.0,605.0,705.0,753.0,492.0,432.0,326.0,292.0,83.0
WEEKDAY,CE1,CC4,,7.0,84.0,153.0,208.0,110.0,117.0,157.0,190.0,188.0,227.0,399.0,429.0,679.0,851.0,584.0,499.0,296.0,259.0,111.0
WEEKDAY,CE1,DT17,,83.0,324.0,642.0,717.0,392.0,209.0,150.0,161.0,186.0,153.0,153.0,159.0,158.0,191.0,137.0,88.0,69.0,70.0,15.0
WEEKDAY,CE1,NS27,,12.0,39.0,66.0,43.0,21.0,9.0,13.0,15.0,15.0,13.0,13.0,10.0,9.0,13.0,8.0,6.0,1.0,1.0,
WEEKDAY,CG1,CG2,,73.0,257.0,332.0,272.0,188.0,135.0,123.0,153.0,173.0,126.0,91.0,92.0,104.0,160.0,143.0,99.0,56.0,18.0,1.0
WEEKDAY,CG1,DT34,,6.0,22.0,61.0,89.0,52.0,45.0,69.0,94.0,109.0,125.0,183.0,212.0,377.0,491.0,343.0,283.0,184.0,142.0,32.0
WEEKDAY,CG1,EW4,,26.0,64.0,155.0,251.0,164.0,90.0,83.0,110.0,128.0,181.0,287.0,320.0,576.0,662.0,458.0,445.0,325.0,285.0,33.0
WEEKDAY,CG2,CG1,,7.0,27.0,86.0,146.0,135.0,74.0,53.0,61.0,84.0,116.0,203.0,180.0,294.0,268.0,185.0,249.0,245.0,249.0,33.0
WEEKDAY,DT1,BP13,,17.0,174.0,200.0,111.0,63.0,52.0,63.0,103.0,123.0,134.0,143.0,191.0,395.0,431.0,262.0,156.0,95.0,60.0,15.0
WEEKDAY,DT1,BP5,,334.0,1030.0,1008.0,569.0,363.0,278.0,305.0,436.0,492.0,552.0,544.0,548.0,832.0,909.0,581.0,388.0,318.0,223.0,49.0
WEEKDAY,DT1,BP7,,31.0,249.0,247.0,162.0,137.0,111.0,136.0,181.0,206.0,238.0,268.0,330.0,493.0,486.0,301.0,233.0,164.0,105.0,28.0
WEEKDAY,DT1,DT2,,472.0,1787.0,2588.0,1663.0,1032.0,666.0,565.0,583.0,591.0,463.0,380.0,418.0,554.0,548.0,288.0,218.0,194.0,93.0,8.0
WEEKDAY,DT10,CC19,1.0,713.0,2300.0,2370.0,1425.0,914.0,788.0,946.0,1253.0,1416.0,1496.0,1842.0,2285.0,3885.0,3843.0,2284.0,1830.0,1462.0,935.0,252.0
WEEKDAY,DT10,NS21,,837.0,2718.0,4316.0,3530.0,2436.0,1776.0,1539.0,1598.0,1745.0,1792.0,1599.0,1777.0,2732.0,2455.0,1318.0,937.0,680.0,401.0,53.0
WEEKDAY,DT13,EW12,,641.0,2234.0,3202.0,2926.0,2071.0,1504.0,1312.0,1442.0,1529.0,1502.0,1524.0,1773.0,2646.0,2501.0,1509.0,1298.0,1008.0,565.0,112.0
WEEKDAY,DT13,NE7,,731.0,2107.0,2330.0,1787.0,1363.0,1103.0,1129.0,1396.0,1477.0,1454.0,1834.0,2073.0,3346.0,3446.0,2124.0,1685.0,1398.0,948.0,277.0
WEEKDAY,DT17,CE1,,13.0,90.0,129.0,145.0,111.0,112.0,136.0,175.0,180.0,189.0,247.0,313.0,506.0,673.0,427.0,253.0,150.0,90.0,30.0
WEEKDAY,DT17,DT18,,5.0,44.0,118.0,132.0,112.0,132.0,170.0,197.0,140.0,139.0,170.0,188.0,194.0,230.0,171.0,121.0,77.0,80.0,18.0
WEEKDAY,DT18,DT17,,24.0,139.0,157.0,182.0,139.0,111.0,137.0,190.0,201.0,149.0,135.0,135.0,166.0,166.0,103.0,72.0,47.0,34.0,8.0
WEEKDAY,DT18,NE4,,3.0,37.0,102.0,132.0,114.0,146.0,217.0,259.0,224.0,249.0,313.0,432.0,689.0,823.0,528.0,350.0,217.0,210.0,70.0
WEEKDAY,DT2,DT1,3.0,95.0,420.0,478.0,342.0,232.0,258.0,361.0,539.0,645.0,874.0,954.0,1162.0,1898.0,1833.0,1073.0,773.0,592.0,395.0,110.0
WEEKDAY,DT2,DT3,,472.0,1816.0,2623.0,1704.0,1059.0,687.0,579.0,609.0,615.0,504.0,399.0,445.0,622.0,600.0,304.0,221.0,199.0,94.0,9.0
WEEKDAY,DT20,DT21,,259.0,830.0,1172.0,917.0,502.0,443.0,537.0,636.0,673.0,703.0,913.0,1299.0,2443.0,2421.0,1443.0,1033.0,756.0,515.0,148.0
WEEKDAY,DT20,NE4,,698.0,1984.0,2618.0,1969.0,1288.0,791.0,676.0,728.0,733.0,624.0,587.0,730.0,1155.0,1264.0,605.0,394.0,292.0,221.0,33.0
WEEKDAY,DT21,DT20,,709.0,2011.0,2706.0,2038.0,1335.0,816.0,677.0,733.0,739.0,630.0,591.0,714.0,1133.0,1251.0,599.0,382.0,284.0,202.0,24.0
WEEKDAY,DT21,DT22,,257.0,875.0,1242.0,957.0,510.0,451.0,551.0,651.0,692.0,728.0,960.0,1374.0,2588.0,2570.0,1551.0,1116.0,818.0,558.0,163.0
WEEKDAY,DT22,DT21,,726.0,2067.0,2838.0,2160.0,1424.0,871.0,712.0,761.0,769.0,649.0,610.0,734.0,1160.0,1315.0,628.0,388.0,299.0,206.0,25.0
WEEKDAY,DT22,DT23,1.0,262.0,958.0,1358.0,1029.0,552.0,474.0,567.0,690.0,716.0,763.0,1015.0,1418.0,2696.0,2674.0,1609.0,1159.0,853.0,575.0,180.0
WEEKDAY,DT23,DT22,,733.0,2122.0,2919.0,2243.0,1489.0,929.0,758.0,805.0,814.0,698.0,665.0,796.0,1264.0,1440.0,703.0,442.0,330.0,227.0,28.0
WEEKDAY,DT23,DT24,2.0,259.0,984.0,1385.0,1029.0,555.0,480.0,583.0,705.0,727.0,787.0,1054.0,1468.0,2817.0,2844.0,1709.0,1199.0,868.0,591.0,183.0
WEEKDAY,DT24,DT23,,752.0,2201.0,3051.0,2415.0,1586.0,966.0,772.0,821.0,829.0,716.0,678.0,806.0,1272.0,1437.0,702.0,451.0,337.0,238.0,28.0
WEEKDAY,DT24,DT25,2.0,277.0,1143.0,1582.0,1189.0,631.0,506.0,608.0,724.0,745.0,795.0,1067.0,1463.0,2828.0,2874.0,1701.0,1177.0,847.0,571.0,169.0
WEEKDAY,DT25,CC10,1.0,290.0,1147.0,1634.0,1224.0,653.0,519.0,610.0,729.0,795.0,817.0,1085.0,1493.0,2892.0,2993.0,1694.0,1160.0,841.0,562.0,170.0
WEEKDAY,DT25,DT24,,751.0,2188.0,3083.0,2420.0,1565.0,953.0,777.0,829.0,862.0,755.0,737.0,872.0,1394.0,1576.0,764.0,515.0,389.0,270.0,37.0
WEEKDAY,DT27,CC10,,970.0,3314.0,4702.0,3880.0,2434.0,1465.0,1229.0,1294.0,1316.0,1160.0,1001.0,1141.0,1940.0,2143.0,1043.0,704.0,560.0,368.0,43.0
WEEKDAY,DT27,DT28,2.0,297.0,1355.0,1828.0,1350.0,764.0,647.0,780.0,1012.0,1287.0,1460.0,1888.0,2411.0,4285.0,4376.0,2397.0,1783.0,1348.0,921.0,279.0
WEEKDAY,DT28,DT27,,975.0,3344.0,4800.0,3977.0,2443.0,1438.0,1204.0,1270.0,1229.0,1082.0,930.0,1058.0,1737.0,1839.0,936.0,646.0,535.0,359.0,41.0
WEEKDAY,DT28,DT29,2.0,257.0,1281.0,1528.0,1086.0,694.0,618.0,760.0,985.0,1213.0,1407.0,1830.0,2353.0,4230.0,4315.0,2329.0,1699.0,1274.0,882.0,267.0
WEEKDAY,DT29,DT28,,965.0,3237.0,4706.0,3944.0,2362.0,1360.0,1138.0,1218.0,1180.0,1033.0,884.0,985.0,1448.0,1520.0,826.0,624.0,526.0,336.0,44.0
WEEKDAY,DT29,DT30,2.0,256.0,1407.0,1624.0,1119.0,722.0,636.0,770.0,987.0,1189.0,1376.0,1768.0,2253.0,4045.0,4107.0,2203.0,1601.0,1195.0,826.0,251.0
WEEKDAY,DT3,DT2,3.0,108.0,520.0,584.0,376.0,232.0,257.0,357.0,500.0,625.0,774.0,958.0,1142.0,1919.0,1860.0,1094.0,790.0,603.0,403.0,111.0
WEEKDAY,DT3,DT5,,491.0,1988.0,2899.0,1938.0,1196.0,775.0,661.0,701.0,688.0,618.0,532.0,528.0,717.0,690.0,344.0,238.0,217.0,107.0,9.0
WEEKDAY,DT30,DT29,,922.0,3039.0,4391.0,3693.0,2210.0,1291.0,1087.0,1189.0,1157.0,1038.0,909.0,1022.0,1448.0,1514.0,847.0,655.0,561.0,367.0,50.0
WEEKDAY,DT30,DT31,2.0,249.0,1363.0,1655.0,1132.0,734.0,638.0,767.0,966.0,1151.0,1329.0,1701.0,2132.0,3780.0,3799.0,2044.0,1487.0,1098.0,764.0,235.0
WEEKDAY,DT31,DT30,,881.0,2860.0,4012.0,3367.0,2035.0,1215.0,1030.0,1145.0,1109.0,995.0,880.0,1009.0,1445.0,1551.0,871.0,680.0,578.0,379.0,54.0
WEEKDAY,DT31,EW2,2.0,234.0,1333.0,1599.0,1078.0,730.0,642.0,761.0,943.0,1142.0,1295.0,1642.0,2023.0,3506.0,3542.0,1921.0,1397.0,1028.0,711.0,220.0
WEEKDAY,DT33,DT34,3.0,23.0,386.0,625.0,506.0,268.0,144.0,122.0,123.0,174.0,149.0,115.0,112.0,134.0,177.0,148.0,71.0,43.0,21.0,5.0
WEEKDAY,DT33,EW2,,210.0,838.0,1227.0,970.0,535.0,313.0,283.0,372.0,356.0,381.0,355.0,413.0,636.0,713.0,442.0,315.0,205.0,166.0,35.0
WEEKDAY,DT34,CG1,3.0,33.0,317.0,573.0,503.0,277.0,153.0,124.0,115.0,147.0,142.0,110.0,120.0,149.0,199.0,150.0,70.0,46.0,19.0,8.0
WEEKDAY,DT34,DT33,,29.0,35.0,76.0,109.0,63.0,48.0,73.0,104.0,104.0,123.0,184.0,251.0,418.0,528.0,352.0,278.0,182.0,141.0,33.0
