,,,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS,TOTAL_TRIPS
WEEKENDS/HOLIDAY,DT7,DT6,4.0,27.0,270.0,382.0,424.0,348.0,372.0,455.0,625.0,703.0,715.0,772.0,850.0,879.0,833.0,845.0,862.0,781.0,592.0,175.0
WEEKENDS/HOLIDAY,DT7,DT8,,191.0,589.0,693.0,800.0,1019.0,970.0,1003.0,947.0,890.0,778.0,702.0,665.0,714.0,618.0,427.0,343.0,292.0,191.0,28.0
WEEKENDS/HOLIDAY,DT8,CC19,,189.0,576.0,682.0,798.0,1025.0,984.0,1022.0,966.0,900.0,794.0,718.0,683.0,734.0,627.0,430.0,348.0,298.0,200.0,31.0
WEEKENDS/HOLIDAY,DT8,DT7,4.0,30.0,296.0,407.0,465.0,378.0,394.0,470.0,638.0,721.0,734.0,801.0,871.0,902.0,858.0,855.0,881.0,789.0,593.0,174.0
WEEKENDS/HOLIDAY,EW1,EW2,,170.0,405.0,477.0,534.0,682.0,698.0,705.0,681.0,694.0,668.0,590.0,591.0,618.0,546.0,386.0,304.0,253.0,181.0,23.0
WEEKENDS/HOLIDAY,EW10,EW11,,286.0,1096.0,1228.0,1489.0,1861.0,1742.0,1628.0,1621.0,1653.0,1557.0,1434.0,1386.0,1409.0,1211.0,880.0,727.0,550.0,378.0,78.0
WEEKENDS/HOLIDAY,EW10,EW9,2.0,131.0,581.0,689.0,743.0,764.0,820.0,1026.0,1247.0,1370.0,1389.0,1535.0,1595.0,1787.0,1674.0,1566.0,1692.0,1556.0,1087.0,326.0
WEEKENDS/HOLIDAY,EW11,EW10,2.0,129.0,532.0,643.0,716.0,725.0,786.0,1012.0,1260.0,1383.0,1402.0,1583.0,1633.0,1836.0,1708.0,1622.0,1783.0,1658.0,1158.0,332.0
WEEKENDS/HOLIDAY,EW11,EW12,,315.0,1194.0,1258.0,1510.0,1938.0,1858.0,1782.0,1809.0,1869.0,1687.0,1537.0,1476.0,1511.0,1295.0,979.0,754.0,579.0,397.0,84.0
WEEKENDS/HOLIDAY,EW12,CC4,,41.0,297.0,319.0,323.0,451.0,420.0,327.0,333.0,349.0,313.0,288.0,308.0,314.0,279.0,201.0,131.0,91.0,44.0,3.0
WEEKENDS/HOLIDAY,EW12,DT13,4.0,261.0,919.0,977.0,1149.0,1258.0,1181.0,1259.0,1469.0,1612.0,1611.0,1760.0,1743.0,1897.0,1748.0,1562.0,1612.0,1607.0,1197.0,342.0
WEEKENDS/HOLIDAY,EW12,EW11,2.0,154.0,568.0,786.0,858.0,827.0,890.0,1096.0,1351.0,1450.0,1499.0,1684.0,1759.0,1944.0,1764.0,1681.0,1869.0,1731.0,1237.0,346.0
WEEKENDS/HOLIDAY,EW12,NS25,,55.0,295.0,330.0,385.0,526.0,491.0,466.0,456.0,476.0,451.0,435.0,427.0,438.0,404.0,295.0,187.0,157.0,94.0,22.0
WEEKENDS/HOLIDAY,EW15,EW16,,18.0,160.0,189.0,183.0,168.0,185.0,265.0,350.0,391.0,395.0,438.0,457.0,460.0,443.0,425.0,432.0,381.0,336.0,126.0
WEEKENDS/HOLIDAY,EW15,NS26,,47.0,242.0,325.0,305.0,346.0,363.0,387.0,451.0,497.0,510.0,504.0,503.0,516.0,471.0,424.0,387.0,311.0,307.0,103.0
WEEKENDS/HOLIDAY,EW16,EW15,,91.0,342.0,402.0,387.0,468.0,457.0,440.0,428.0,439.0,406.0,383.0,398.0,423.0,372.0,275.0,198.0,157.0,109.0,27.0
WEEKENDS/HOLIDAY,EW16,EW17,,178.0,539.0,604.0,626.0,618.0,610.0,693.0,922.0,982.0,985.0,1125.0,1150.0,1199.0,1122.0,1082.0,1142.0,1024.0,787.0,226.0
WEEKENDS/HOLIDAY,EW16,NE1,,208.0,653.0,587.0,562.0,627.0,614.0,617.0,644.0,717.0,694.0,655.0,667.0,671.0,615.0,384.0,286.0,199.0,94.0,18.0
WEEKENDS/HOLIDAY,EW16,NE4,,137.0,538.0,796.0,958.0,932.0,967.0,1102.0,1310.0,1336.0,1374.0,1506.0,1604.0,1684.0,1477.0,1448.0,1485.0,1455.0,1054.0,272.0
WEEKENDS/HOLIDAY,EW17,EW16,,218.0,824.0,935.0,959.0,1108.0,1090.0,1132.0,1126.0,1097.0,1027.0,960.0,942.0,1058.0,896.0,705.0,528.0,471.0,346.0,65.0
WEEKENDS/HOLIDAY,EW17,EW18,,169.0,616.0,579.0,551.0,511.0,546.0,668.0,914.0,955.0,951.0,1040.0,1075.0,1124.0,1087.0,1026.0,1022.0,895.0,714.0,211.0
WEEKENDS/HOLIDAY,EW18,EW17,,225.0,746.0,918.0,1011.0,1071.0,1072.0,1124.0,1111.0,1051.0,948.0,919.0,921.0,1038.0,873.0,676.0,524.0,433.0,305.0,57.0
WEEKENDS/HOLIDAY,EW18,EW19,2.0,150.0,639.0,577.0,558.0,521.0,579.0,680.0,914.0,943.0,944.0,1011.0,1062.0,1117.0,1066.0,1005.0,982.0,852.0,686.0,209.0
WEEKENDS/HOLIDAY,EW19,EW18,,251.0,804.0,1010.0,1067.0,1084.0,1035.0,1076.0,1053.0,994.0,908.0,883.0,898.0,1005.0,854.0,666.0,554.0,463.0,330.0,66.0
WEEKENDS/HOLIDAY,EW19,EW20,2.0,145.0,703.0,632.0,605.0,561.0,630.0,735.0,961.0,989.0,958.0,1059.0,1089.0,1150.0,1105.0,1018.0,970.0,836.0,674.0,214.0
WEEKENDS/HOLIDAY,EW2,DT31,,345.0,863.0,984.0,1063.0,1230.0,1137.0,1080.0,1138.0,1137.0,1093.0,1039.0,1002.0,1120.0,995.0,755.0,737.0,630.0,443.0,79.0
WEEKENDS/HOLIDAY,EW2,DT33,5.0,17.0,218.0,272.0,223.0,190.0,194.0,232.0,299.0,359.0,373.0,356.0,378.0,424.0,444.0,428.0,370.0,321.0,236.0,91.0
WEEKENDS/HOLIDAY,EW2,EW1,7.0,40.0,218.0,261.0,299.0,297.0,315.0,425.0,514.0,576.0,600.0,652.0,668.0,727.0,685.0,644.0,687.0,579.0,411.0,123.0
WEEKENDS/HOLIDAY,EW2,EW3,,44.0,204.0,230.0,257.0,305.0,310.0,373.0,395.0,410.0,417.0,410.0,423.0,451.0,398.0,339.0,300.0,275.0,181.0,26.0
WEEKENDS/HOLIDAY,EW20,EW19,,272.0,833.0,1050.0,1069.0,1078.0,1017.0,1069.0,1065.0,1010.0,932.0,908.0,933.0,1034.0,883.0,703.0,622.0,529.0,362.0,68.0
WEEKENDS/HOLIDAY,EW20,EW21,2.0,148.0,815.0,759.0,732.0,682.0,759.0,862.0,1088.0,1125.0,1062.0,1173.0,1187.0,1259.0,1197.0,1103.0,994.0,849.0,670.0,232.0
WEEKENDS/HOLIDAY,EW21,CC21,1.0,266.0,841.0,1236.0,1481.0,1438.0,1412.0,1437.0,1636.0,1568.0,1496.0,1495.0,1451.0,1635.0,1286.0,1209.0,1154.0,982.0,612.0,104.0
WEEKENDS/HOLIDAY,EW21,CC23,,282.0,907.0,625.0,388.0,326.0,284.0,324.0,377.0,342.0,279.0,224.0,209.0,318.0,412.0,226.0,130.0,80.0,34.0,7.0
WEEKENDS/HOLIDAY,EW21,EW20,,309.0,910.0,1104.0,1113.0,1104.0,1033.0,1122.0,1145.0,1069.0,1005.0,996.0,1042.0,1157.0,989.0,813.0,764.0,646.0,429.0,82.0
WEEKENDS/HOLIDAY,EW21,EW22,3.0,471.0,1721.0,1587.0,1494.0,1328.0,1355.0,1606.0,2111.0,2221.0,2165.0,2431.0,2565.0,2720.0,2546.0,2503.0,2518.0,2228.0,1630.0,477.0
WEEKENDS/HOLIDAY,EW22,EW21,1.0,690.0,2005.0,2285.0,2437.0,2511.0,2358.0,2426.0,2580.0,2431.0,2246.0,2167.0,2168.0,2473.0,2045.0,1546.0,1457.0,1250.0,788.0,130.0
WEEKENDS/HOLIDAY,EW22,EW23,3.0,471.0,1730.0,1605.0,1504.0,1336.0,1375.0,1623.0,2114.0,2221.0,2166.0,2443.0,2555.0,2730.0,2543.0,2509.0,2500.0,2210.0,1622.0,472.0
WEEKENDS/HOLIDAY,EW23,EW22,1.0,699.0,2027.0,2296.0,2443.0,2492.0,2341.0,2421.0,2579.0,2440.0,2260.0,2184.0,2185.0,2498.0,2068.0,1567.0,1489.0,1283.0,804.0,130.0
WEEKENDS/HOLIDAY,EW23,NS1,5.0,378.0,1612.0,1533.0,1429.0,1290.0,1359.0,1647.0,2144.0,2247.0,2183.0,2485.0,2551.0,2763.0,2628.0,2547.0,2539.0,2218.0,1643.0,499.0
WEEKENDS/HOLIDAY,EW25,EW26,10.0,641.0,2078.0,1816.0,1139.0,972.0,970.0,1143.0,1458.0,1606.0,1611.0,1816.0,1890.0,2157.0,2125.0,2019.0,2035.0,1818.0,1257.0,375.0
WEEKENDS/HOLIDAY,EW25,NS1,,508.0,1680.0,1950.0,1982.0,1951.0,1881.0,2062.0,2368.0,2164.0,1953.0,1940.0,1982.0,2468.0,1892.0,1554.0,1366.0,920.0,609.0,92.0
WEEKENDS/HOLIDAY,EW26,EW25,,484.0,1598.0,1862.0,1919.0,1858.0,1801.0,1997.0,2304.0,2111.0,1884.0,1885.0,1946.0,2464.0,1861.0,1545.0,1371.0,906.0,598.0,89.0
WEEKENDS/HOLIDAY,EW26,EW27,7.0,622.0,2030.0,1853.0,1002.0,824.0,837.0,955.0,1183.0,1295.0,1279.0,1414.0,1447.0,1653.0,1691.0,1574.0,1494.0,1299.0,876.0,249.0
WEEKENDS/HOLIDAY,EW27,EW26,,357.0,1142.0,1382.0,1421.0,1261.0,1237.0,1444.0,1776.0,1634.0,1468.0,1523.0,1602.0,2093.0,1522.0,1311.0,1165.0,781.0,518.0,74.0
WEEKENDS/HOLIDAY,EW27,EW28,3.0,469.0,1727.0,1600.0,612.0,326.0,318.0,357.0,470.0,505.0,515.0,514.0,538.0,715.0,861.0,759.0,637.0,530.0,352.0,94.0
WEEKENDS/HOLIDAY,EW28,EW27,,201.0,650.0,894.0,860.0,592.0,624.0,788.0,1035.0,882.0,799.0,850.0,972.0,1453.0,929.0,868.0,766.0,318.0,201.0,28.0
WEEKENDS/HOLIDAY,EW28,EW29,,456.0,1715.0,1702.0,502.0,193.0,161.0,148.0,173.0,187.0,196.0,162.0,158.0,301.0,458.0,341.0,140.0,102.0,67.0,3.0
WEEKENDS/HOLIDAY,EW29,EW28,,26.0,193.0,455.0,428.0,90.0,116.0,250.0,541.0,400.0,388.0,486.0,602.0,1110.0,577.0,688.0,607.0,211.0,140.0,16.0
WEEKENDS/HOLIDAY,EW29,EW30,,186.0,736.0,788.0,243.0,66.0,49.0,35.0,33.0,39.0,49.0,32.0,32.0,111.0,201.0,115.0,41.0,43.0,13.0,
WEEKENDS/HOLIDAY,EW3,EW2,4.0,22.0,113.0,178.0,220.0,276.0,335.0,387.0,420.0,440.0,453.0,445.0,413.0,453.0,404.0,327.0,277.0,216.0,166.0,48.0
WEEKENDS/HOLIDAY,EW3,EW4,,101.0,293.0,354.0,412.0,475.0,451.0,486.0,478.0,523.0,515.0,496.0,482.0,520.0,452.0,390.0,360.0,362.0,225.0,28.0
WEEKENDS/HOLIDAY,EW30,EW29,,13.0,83.0,232.0,177.0,40.0,50.0,114.0,243.0,167.0,171.0,192.0,250.0,464.0,253.0,317.0,262.0,61.0,61.0,3.0
WEEKENDS/HOLIDAY,EW30,EW31,,129.0,536.0,586.0,169.0,51.0,40.0,29.0,29.0,37.0,41.0,27.0,25.0,72.0,154.0,90.0,34.0,39.0,8.0,
WEEKENDS/HOLIDAY,EW31,EW30,,10.0,65.0,149.0,137.0,36.0,40.0,92.0,184.0,131.0,131.0,144.0,186.0,355.0,193.0,199.0,205.0,53.0,49.0,3.0
WEEKENDS/HOLIDAY,EW31,EW32,,88.0,352.0,348.0,108.0,34.0,28.0,20.0,22.0,30.0,34.0,19.0,18.0,51.0,97.0,60.0,21.0,33.0,5.0,
WEEKENDS/HOLIDAY,EW32,EW31,,6.0,42.0,96.0,71.0,18.0,21.0,66.0,114.0,78.0,96.0,93.0,115.0,199.0,135.0,128.0,101.0,29.0,38.0,3.0
WEEKENDS/HOLIDAY,EW32,EW33,,34.0,131.0,112.0,54.0,15.0,6.0,9.0,14.0,17.0,13.0,14.0,14.0,26.0,53.0,25.0,10.0,11.0,2.0,
WEEKENDS/HOLIDAY,EW33,EW32,,,23.0,29.0,27.0,10.0,9.0,23.0,51.0,41.0,36.0,45.0,52.0,68.0,51.0,57.0,44.0,18.0,9.0,3.0
WEEKENDS/HOLIDAY,EW4,CG1,,53.0,340.0,288.0,226.0,220.0,201.0,202.0,238.0,274.0,212.0,177.0,174.0,215.0,260.0,188.0,111.0,75.0,27.0,1.0
WEEKENDS/HOLIDAY,EW4,EW3,6.0,34.0,169.0,284.0,319.0,333.0,379.0,450.0,482.0,503.0,491.0,528.0,520.0,569.0,521.0,445.0,422.0,335.0,266.0,81.0
WEEKENDS/HOLIDAY,EW4,EW5,,120.0,357.0,491.0,705.0,720.0,665.0,678.0,693.0,720.0,729.0,813.0,761.0,860.0,738.0,670.0,740.0,630.0,522.0,59.0
WEEKENDS/HOLIDAY,EW5,EW4,6.0,77.0,553.0,629.0,558.0,502.0,539.0,639.0,712.0,767.0,689.0,715.0,703.0,795.0,803.0,663.0,588.0,501.0,343.0,94.0
WEEKENDS/HOLIDAY,EW5,EW6,,223.0,701.0,875.0,1106.0,1162.0,1083.0,1016.0,1044.0,1067.0,1023.0,1046.0,1009.0,1120.0,1011.0,877.0,922.0,791.0,566.0,76.0
WEEKENDS/HOLIDAY,EW6,EW5,4.0,127.0,702.0,760.0,721.0,718.0,731.0,857.0,964.0,1069.0,984.0,1055.0,1074.0,1214.0,1161.0,1029.0,1017.0,896.0,620.0,189.0
WEEKENDS/HOLIDAY,EW6,EW7,,228.0,753.0,925.0,1163.0,1262.0,1178.0,1087.0,1118.0,1116.0,1070.0,1084.0,1041.0,1157.0,1034.0,849.0,904.0,763.0,552.0,74.0
WEEKENDS/HOLIDAY,EW7,EW6,4.0,145.0,725.0,782.0,747.0,741.0,731.0,874.0,1010.0,1129.0,1032.0,1131.0,1164.0,1296.0,1243.0,1137.0,1132.0,1011.0,691.0,213.0
WEEKENDS/HOLIDAY,EW7,EW8,,259.0,858.0,1019.0,1250.0,1417.0,1345.0,1246.0,1272.0,1260.0,1183.0,1186.0,1136.0,1265.0,1129.0,905.0,898.0,738.0,524.0,73.0
WEEKENDS/HOLIDAY,EW8,CC10,3.0,114.0,527.0,677.0,787.0,745.0,729.0,868.0,1067.0,1172.0,1238.0,1421.0,1421.0,1601.0,1544.0,1476.0,1700.0,1548.0,1172.0,315.0
WEEKENDS/HOLIDAY,EW8,CC8,,57.0,294.0,332.0,288.0,377.0,323.0,314.0,301.0,344.0,320.0,256.0,296.0,311.0,275.0,198.0,133.0,104.0,61.0,9.0
WEEKENDS/HOLIDAY,EW8,EW7,3.0,169.0,766.0,859.0,810.0,776.0,774.0,935.0,1109.0,1232.0,1155.0,1263.0,1302.0,1461.0,1397.0,1314.0,1361.0,1204.0,832.0,247.0
WEEKENDS/HOLIDAY,EW8,EW9,,267.0,886.0,1056.0,1329.0,1633.0,1568.0,1504.0,1546.0,1589.0,1506.0,1432.0,1351.0,1444.0,1245.0,926.0,847.0,676.0,501.0,74.0
WEEKENDS/HOLIDAY,EW9,EW10,,280.0,1026.0,1147.0,1416.0,1769.0,1663.0,1573.0,1604.0,1635.0,1530.0,1423.0,1371.0,1412.0,1217.0,897.0,785.0,606.0,438.0,80.0
WEEKENDS/HOLIDAY,EW9,EW8,2.0,128.0,649.0,723.0,747.0,818.0,864.0,1035.0,1228.0,1358.0,1352.0,1501.0,1530.0,1705.0,1601.0,1476.0,1545.0,1417.0,973.0,304.0
WEEKENDS/HOLIDAY,NE1,CC28,,65.0,228.0,150.0,127.0,79.0,81.0,112.0,144.0,171.0,183.0,214.0,255.0,296.0,337.0,290.0,300.0,271.0,187.0,53.0
WEEKENDS/HOLIDAY,NE1,EW16,,29.0,102.0,244.0,252.0,216.0,241.0,316.0,397.0,463.0,535.0,679.0,753.0,886.0,801.0,865.0,925.0,865.0,659.0,169.0
WEEKENDS/HOLIDAY,NE10,NE11,,36.0,308.0,596.0,709.0,611.0,752.0,1024.0,1411.0,1611.0,1682.0,1973.0,2038.0,2217.0,2192.0,2246.0,2447.0,2384.0,1684.0,546.0
WEEKENDS/HOLIDAY,NE10,NE9,,402.0,1545.0,1861.0,2193.0,2826.0,2664.0,2398.0,2146.0,1971.0,1821.0,1582.0,1520.0,1525.0,1421.0,888.0,533.0,451.0,269.0,46.0
WEEKENDS/HOLIDAY,NE11,NE10,,419.0,1520.0,1883.0,2206.0,2794.0,2587.0,2321.0,2075.0,1962.0,1819.0,1580.0,1512.0,1506.0,1403.0,889.0,558.0,499.0,301.0,50.0
WEEKENDS/HOLIDAY,NE11,NE12,,33.0,313.0,605.0,714.0,622.0,767.0,1031.0,1412.0,1616.0,1675.0,1966.0,2036.0,2216.0,2188.0,2232.0,2429.0,2360.0,1660.0,535.0
WEEKENDS/HOLIDAY,NE12,CC12,1.0,276.0,897.0,1096.0,1083.0,1104.0,952.0,833.0,805.0,848.0,737.0,707.0,677.0,773.0,680.0,579.0,493.0,491.0,348.0,47.0
WEEKENDS/HOLIDAY,NE12,CC14,,196.0,771.0,853.0,895.0,789.0,715.0,759.0,861.0,859.0,825.0,901.0,927.0,1068.0,968.0,834.0,898.0,839.0,598.0,110.0
WEEKENDS/HOLIDAY,NE12,NE11,,426.0,1529.0,1888.0,2202.0,2772.0,2554.0,2295.0,2055.0,1944.0,1810.0,1570.0,1499.0,1493.0,1389.0,892.0,568.0,511.0,313.0,52.0
WEEKENDS/HOLIDAY,NE12,NE13,1.0,53.0,429.0,778.0,982.0,930.0,994.0,1269.0,1738.0,1925.0,1983.0,2279.0,2345.0,2588.0,2494.0,2579.0,2786.0,2688.0,1864.0,532.0
WEEKENDS/HOLIDAY,NE13,NE12,,539.0,1883.0,2277.0,2574.0,3173.0,2912.0,2644.0,2389.0,2250.0,2054.0,1835.0,1757.0,1764.0,1589.0,1081.0,784.0,765.0,501.0,65.0
WEEKENDS/HOLIDAY,NE13,NE14,2.0,42.0,421.0,756.0,929.0,932.0,1016.0,1310.0,1721.0,1886.0,1894.0,2154.0,2214.0,2412.0,2351.0,2429.0,2623.0,2500.0,1722.0,486.0
WEEKENDS/HOLIDAY,NE14,NE13,,559.0,1844.0,2258.0,2556.0,3089.0,2808.0,2521.0,2244.0,2110.0,1890.0,1702.0,1654.0,1659.0,1461.0,981.0,707.0,704.0,459.0,58.0
WEEKENDS/HOLIDAY,NE14,NE15,4.0,33.0,359.0,622.0,816.0,842.0,930.0,1218.0,1513.0,1637.0,1653.0,1836.0,1897.0,2057.0,1962.0,2005.0,2144.0,1981.0,1336.0,375.0
WEEKENDS/HOLIDAY,NE15,NE14,,499.0,1436.0,1865.0,2099.0,2542.0,2343.0,2131.0,1927.0,1799.0,1642.0,1483.0,1431.0,1452.0,1224.0,832.0,629.0,681.0,450.0,51.0
WEEKENDS/HOLIDAY,NE15,NE16,3.0,27.0,326.0,571.0,753.0,796.0,894.0,1152.0,1383.0,1493.0,1500.0,1671.0,1728.0,1871.0,1752.0,1769.0,1879.0,1697.0,1157.0,328.0
WEEKENDS/HOLIDAY,NE16,NE15,,461.0,1260.0,1639.0,1834.0,2204.0,2026.0,1872.0,1721.0,1606.0,1491.0,1352.0,1310.0,1330.0,1145.0,790.0,645.0,683.0,444.0,45.0
WEEKENDS/HOLIDAY,NE16,NE17,3.0,29.0,206.0,324.0,473.0,547.0,620.0,728.0,855.0,928.0,946.0,1029.0,1032.0,1103.0,996.0,972.0,969.0,830.0,560.0,154.0
WEEKENDS/HOLIDAY,NE16,SE1,2.0,5.0,28.0,58.0,78.0,75.0,94.0,155.0,198.0,212.0,210.0,215.0,220.0,240.0,249.0,260.0,260.0,234.0,143.0,46.0
WEEKENDS/HOLIDAY,NE16,SE5,1.0,,18.0,31.0,45.0,42.0,54.0,77.0,105.0,108.0,101.0,107.0,116.0,117.0,121.0,116.0,111.0,100.0,56.0,14.0
WEEKENDS/HOLIDAY,NE16,SW1,,7.0,80.0,61.0,58.0,52.0,68.0,111.0,139.0,118.0,105.0,109.0,123.0,136.0,130.0,133.0,132.0,109.0,63.0,11.0
WEEKENDS/HOLIDAY,NE16,SW8,1.0,5.0,48.0,66.0,100.0,111.0,128.0,164.0,194.0,203.0,218.0,227.0,248.0,245.0,252.0,235.0,234.0,230.0,148.0,38.0
WEEKENDS/HOLIDAY,NE17,NE16,,215.0,616.0,790.0,891.0,1128.0,1081.0,1083.0,1019.0,962.0,906.0,883.0,859.0,901.0,790.0,601.0,516.0,503.0,326.0,39.0
WEEKENDS/HOLIDAY,NE17,PE1,1.0,4.0,31.0,49.0,78.0,66.0,96.0,143.0,182.0,203.0,209.0,218.0,217.0,243.0,247.0,248.0,239.0,209.0,122.0,31.0
WEEKENDS/HOLIDAY,NE17,PE7,,7.0,54.0,79.0,109.0,133.0,124.0,179.0,225.0,232.0,240.0,239.0,259.0,274.0,269.0,243.0,267.0,221.0,124.0,31.0
WEEKENDS/HOLIDAY,NE17,PW1,,,6.0,12.0,16.0,18.0,20.0,20.0,18.0,18.0,23.0,14.0,18.0,14.0,9.0,8.0,5.0,1.0,1.0,1.0
WEEKENDS/HOLIDAY,NE17,PW7,2.0,2.0,19.0,22.0,36.0,46.0,55.0,70.0,86.0,97.0,88.0,93.0,85.0,107.0,99.0,94.0,103.0,86.0,60.0,12.0
WEEKENDS/HOLIDAY,NE4,DT18,,17.0,114.0,146.0,153.0,223.0,192.0,170.0,192.0,192.0,202.0,198.0,176.0,194.0,188.0,142.0,84.0,51.0,27.0,9.0
WEEKENDS/HOLIDAY,NE4,DT20,,92.0,356.0,457.0,468.0,408.0,417.0,494.0,648.0,658.0,652.0,722.0,741.0,799.0,733.0,751.0,762.0,697.0,510.0,159.0
WEEKENDS/HOLIDAY,NE4,EW16,,506.0,1445.0,1391.0,1200.0,1285.0,1195.0,1308.0,1385.0,1384.0,1323.0,1369.0,1383.0,1459.0,1400.0,1149.0,980.0,799.0,554.0,118.0
WEEKENDS/HOLIDAY,NE4,NE5,,39.0,253.0,476.0,596.0,591.0,700.0,927.0,1185.0,1264.0,1381.0,1536.0,1633.0,1646.0,1544.0,1514.0,1570.0,1466.0,1071.0,328.0
WEEKENDS/HOLIDAY,NE5,NE4,,346.0,1144.0,1242.0,1248.0,1572.0,1589.0,1584.0,1492.0,1428.0,1343.0,1293.0,1254.0,1249.0,1148.0,836.0,596.0,499.0,325.0,81.0
WEEKENDS/HOLIDAY,NE5,NS24,,38.0,255.0,494.0,610.0,579.0,688.0,936.0,1197.0,1302.0,1426.0,1618.0,1713.0,1728.0,1649.0,1632.0,1717.0,1639.0,1289.0,446.0
WEEKENDS/HOLIDAY,NE7,DT13,,235.0,953.0,1181.0,1374.0,1722.0,1864.0,1871.0,2035.0,2016.0,1919.0,1903.0,1861.0,1951.0,1682.0,1361.0,1344.0,1154.0,721.0,152.0
WEEKENDS/HOLIDAY,NE7,NE8,,40.0,226.0,541.0,698.0,615.0,727.0,1057.0,1437.0,1612.0,1771.0,2049.0,2152.0,2319.0,2251.0,2324.0,2606.0,2504.0,1802.0,564.0
WEEKENDS/HOLIDAY,NE7,NS21,5.0,269.0,1178.0,1248.0,1226.0,1009.0,1039.0,1373.0,1856.0,2134.0,2222.0,2577.0,2804.0,3031.0,2911.0,2847.0,3167.0,3067.0,2360.0,756.0
WEEKENDS/HOLIDAY,NE7,NS24,,660.0,2279.0,2792.0,3278.0,4525.0,4146.0,3633.0,3439.0,3239.0,2961.0,2672.0,2456.0,2373.0,2120.0,1365.0,782.0,620.0,326.0,61.0
WEEKENDS/HOLIDAY,NE8,NE7,,351.0,1542.0,1850.0,2064.0,2805.0,2715.0,2430.0,2213.0,2039.0,1903.0,1706.0,1605.0,1579.0,1427.0,981.0,572.0,483.0,279.0,59.0
WEEKENDS/HOLIDAY,NE8,NE9,,41.0,213.0,511.0,635.0,532.0,659.0,962.0,1387.0,1590.0,1717.0,2038.0,2149.0,2334.0,2272.0,2340.0,2650.0,2603.0,1862.0,594.0
WEEKENDS/HOLIDAY,NE9,NE10,,35.0,287.0,603.0,708.0,596.0,743.0,1003.0,1411.0,1613.0,1707.0,1976.0,2082.0,2240.0,2203.0,2294.0,2498.0,2453.0,1747.0,562.0
